feature,shap_importance
patient_age_groupper,0.58320004
practice_id,0.119363025
id,0.11629893
patient_id,0.060868
patient_zipcode_x,0.03290619
appointment_type,0.028145108
appointment_date,0.025920875
appointment_start_time,0.023280745
appointment_yosi_noshow2,0.022314925
patient_dob,0.014852684
appointment_duration,0.013769829
appointment_id,0.011320127
patient_gender,0.007626195
appointment_scheduled_date_04,0.0037957919
appointment_scheduled_date_2018,0.0035638933
appointment_last_modified_date_2020,0.0034441887
appointment_date_time_2020,0.0028330307
appointment_yosi_noshow1,0.0025643308
appointment_scheduled_date_09,0.0024103296
appointment_last_modified_date_16,0.0023044744
appointment_last_modified_date_09,0.0022806143
appointment_date_time_09,0.0021006041
appointment_scheduled_date_10,0.0020806133
appointment_date_time_03,0.001938895
appointment_date_time_00,0.0018776936
appointment_last_modified_date_03,0.001857507
appointment_last_modified_date_11,0.001848331
appointment_date_time_2021,0.0018155316
appointment_scheduled_date_14,0.0017839292
appointment_scheduled_date_03,0.0017374901
appointment_last_modified_date_58,0.0016929947
appointment_last_modified_date_08,0.0014646602
data_collect,0.0014429712
appointment_scheduled_date_2020,0.0013523123
appointment_status,0.0013177934
appointment_date_time_07,0.0012912736
appointment_date_time_17,0.0012909222
appointment_date_time_01,0.0012457554
appointment_last_modified_date_14,0.0012311902
appointment_scheduled_date_2021,0.0011836232
appointment_last_modified_date_34,0.001121567
appointment_last_modified_date_32,0.0011001003
appointment_date_time_11,0.0010993562
appointment_last_modified_date_01,0.0010276171
appointment_last_modified_date_15,0.0010239246
appointment_last_modified_date_07,0.0010195483
appointment_date_time_2018,0.0009956305
appointment_last_modified_date_10,0.0009704077
appointment_scheduled_date_02,0.0009503747
appointment_last_modified_date_46,0.00095012423
appointment_date_time_13,0.0009168915
appointment_scheduled_date_2019,0.0009133264
appointment_date_time_05,0.00089001167
appointment_date_time_15,0.0008885881
appointment_scheduled_date_26,0.0008840356
appointment_last_modified_date_12,0.0008784875
appointment_scheduled_date_59,0.00083817437
appointment_date_time_37,0.00082303106
appointment_date_time_55,0.0008149504
appointment_date_time_14,0.00080643746
appointment_last_modified_date_04,0.00079992076
appointment_scheduled_date_49,0.00079679105
appointment_date_time_16,0.000789659
appointment_start_time_groupper,0.0007752727
appointment_scheduled_date_01,0.00077256165
appointment_date_time_08,0.00075149577
appointment_last_modified_date_02,0.00074141036
appointment_date_time_04,0.00073555676
appointment_scheduled_date_00,0.0007161848
appointment_date_time_45,0.0006875684
appointment_last_modified_date_00,0.0006634478
appointment_scheduled_date_12,0.00064152747
appointment_last_modified_date_53,0.00063714525
appointment_date_time_10,0.0006339235
appointment_scheduled_date_11,0.00063007936
appointment_date_time_2019,0.0006235632
appointment_last_modified_date_43,0.0006102595
appointment_date_time_12,0.0006074768
patient_id_2_303802_343618,0.0006010061
appointment_scheduled_date_34,0.0006009009
appointment_date_time_26,0.0005894687
appointment_scheduled_date_30,0.00058605557
appointment_scheduled_date_50,0.0005831441
appointment_last_modified_date_52,0.00057092897
appointment_date_time_30,0.0005678671
appointment_last_modified_date_55,0.0005663921
appointment_date_time_48,0.0005545415
appointment_scheduled_date_33,0.000537992
appointment_scheduled_date_32,0.0005372757
appointment_scheduled_date_24,0.000523796
appointment_last_modified_date_05,0.0005176825
appointment_scheduled_date_15,0.00051494624
appointment_scheduled_date_23,0.00051333354
appointment_last_modified_date_17,0.00051005196
appointment_last_modified_date_06,0.0005066446
appointment_date_time_25,0.0005043327
appointment_last_modified_date_29,0.0004965406
appointment_date_time_22,0.0004958536
appointment_last_modified_date_49,0.00049152103
appointment_scheduled_date_19,0.0004886743
appointment_last_modified_date_21,0.0004883067
appointment_scheduled_date_17,0.0004600699
appointment_date_month,0.00045427456
appointment_scheduled_date_13,0.0004371102
appointment_scheduled_date_07,0.00043125625
appointment_scheduled_date_21,0.00042377345
appointment_last_modified_date_47,0.00042300866
appointment_last_modified_date_13,0.00042194178
appointment_scheduled_date_08,0.00042074724
appointment_scheduled_date_39,0.00041183626
appointment_last_modified_date_38,0.00040745907
appointment_last_modified_date_35,0.00040528955
appointment_date_time_46,0.00039548497
appointment_last_modified_date_26,0.00038852103
appointment_date_time_40,0.00038846867
appointment_scheduled_date_29,0.00038417132
appointment_last_modified_date_2017,0.00038065767
appointment_scheduled_date_31,0.00037825506
appointment_scheduled_date_51,0.0003782423
appointment_date_time_21,0.00037611576
appointment_last_modified_date_23,0.00036735495
appointment_date_time_02,0.00036677226
appointment_scheduled_date_35,0.00036335277
appointment_last_modified_date_44,0.0003627336
appointment_last_modified_date_19,0.00036026278
appointment_last_modified_date_2019,0.0003567146
appointment_last_modified_date_59,0.00034956404
