feature,mean_importance
appointment_last_modified_date_33,-0.0025925263592445624
appointment_date_time_03,-0.0024628693764111808
appointment_last_modified_date_22,-0.0023155111973917506
patient_id_2_318601_166086,-0.0022761245387920236
appointment_last_modified_date_38,-0.0022531036324833775
appointment_date_time_45,-0.0021951320044905297
patient_dob,-0.0021150674927890136
appointment_last_modified_date_2019,-0.0019141481839938467
appointment_date_time_02,-0.0016845284177354758
appointment_scheduled_date_01,-0.0015530200226629876
appointment_last_modified_date_36,-0.0015496411518482356
appointment_last_modified_date_14,-0.001497964925299744
appointment_status,-0.0013696238525017779
appointment_scheduled_date_12,-0.0013689569238862997
patient_id_2_301903_109367,-0.0013408019117792324
appointment_date_time_17,-0.0012534391546970337
appointment_date_time_26,-0.001216323947793818
appointment_scheduled_date_43,-0.0012007859544732157
appointment_scheduled_date_34,-0.0011752246410587253
appointment_last_modified_date_40,-0.0011525608946942657
appointment_last_modified_date_18,-0.0011075838017510441
appointment_scheduled_date_47,-0.0010755337508081663
appointment_scheduled_date_41,-0.001030645753502668
appointment_scheduled_date_29,-0.0009723554160006809
appointment_last_modified_date_16,-0.0009614226521345137
appointment_scheduled_date_45,-0.0009596029868468193
appointment_last_modified_date_03,-0.0009182028671830045
appointment_last_modified_date_2018,-0.0009022328237329291
appointment_date_time_13,-0.0008905479362483981
appointment_scheduled_date_52,-0.0007273013345547308
appointment_last_modified_date_08,-0.0007066638342860809
appointment_date_time_15,-0.0007049474232612041
appointment_last_modified_date_25,-0.0006946978260082837
appointment_start_time_groupper,-0.0006929028789384062
appointment_last_modified_date_41,-0.0006881265343079756
appointment_scheduled_date_54,-0.0006865664603838417
appointment_scheduled_date_10,-0.0006664194833642112
appointment_date_time_55,-0.0006530441643266327
appointment_scheduled_date_2017,-0.0006525260222323914
patient_id_2_318601_151936,-0.0006497486937608543
appointment_scheduled_date_44,-0.0006407726176854922
appointment_last_modified_date_44,-0.0006137331274267632
appointment_scheduled_date_04,-0.0006079582988264498
appointment_date_time_05,-0.0006030909359792669
appointment_duration,-0.0005976403173276412
appointment_scheduled_date_16,-0.0005671073573514041
appointment_scheduled_date_11,-0.0005547011203862362
appointment_scheduled_date_48,-0.0005479039444090339
appointment_scheduled_date_37,-0.0005402921698808183
appointment_last_modified_date_49,-0.0005390239617306114
appointment_date_time_08,-0.0005334554563562133
appointment_last_modified_date_28,-0.0005183790209172701
appointment_last_modified_date_55,-0.00047622936706586126
appintmentWithin7DayHoliday,-0.000464378060320525
appointment_date_time_25,-0.0004539845330544079
appointment_scheduled_date_33,-0.0004448874610021414
appointment_last_modified_date_45,-0.00041445977343729234
geocode_longitude,-0.0003984765903159215
appointment_date_time_01,-0.00039745887780781033
appointment_last_modified_date_2020,-0.00039099940311965176
appointment_date_time_38,-0.00037642769016267287
appointment_last_modified_date_2022,-0.00037251239238313973
appointment_scheduled_date_53,-0.0003683913153528673
appointment_last_modified_date_26,-0.0003579060273651402
appointment_scheduled_date_28,-0.00035401943490471767
appointment_scheduled_date_58,-0.00033224948153748324
appointment_scheduled_date_09,-0.00031993984643809983
appointment_scheduled_date_22,-0.0003092994845788399
appintmentWithin5DayHoliday,-0.0003074605450080092
appointment_last_modified_date_30,-0.00029937553956173036
patient_id_2_25401_1003580,-0.00029928973603770003
appointment_scheduled_date_07,-0.00027040944177841864
appointment_scheduled_date_17,-0.0002325944502035604
appointment_last_modified_date_34,-0.0002111989018792393
appointment_scheduled_date_03,-0.00021019108356035154
appointment_scheduled_date_18,-0.000203436606172136
appointment_last_modified_date_31,-0.00019645394414781193
appointment_yosi_noshow1,-0.00019033945064209635
appointment_date_time_31,-0.00018744622228064056
appointment_scheduled_date_02,-0.00017596920604676659
appointment_scheduled_date_39,-0.00015024004034910332
appointment_date_time_43,-0.00014379142589491246
appointment_date_time_35,-0.00013261219295005456
appointment_last_modified_date_59,-0.00011863484106768851
patient_id_2_301903_107239,-0.00011633254543539362
appointment_last_modified_date_37,-0.00011444665384507946
appointment_last_modified_date_20,-8.737447319610015e-05
appointment_date_time_42,-5.397918253013945e-05
appointment_scheduled_date_26,-4.6861619744920094e-05
appointment_scheduled_date_32,-3.8576493453423845e-05
geocode_zip,-3.829305164343433e-05
appointment_date_time_39,-1.9622398305452205e-05
appointment_last_modified_date_57,-1.609743273770503e-05
appointment_date_time_34,-8.51632689499171e-06
appointment_date_time_46,-4.548675743143437e-06
patient_id_2_325502_338364,0.0
patient_id_2_325501_49495,0.0
appointment_last_modified_date_2016,0.0
appointment_date_time_2016,0.0
patient_id_2_325501_148923,0.0
patient_id_2_318604_71653,0.0
patient_id_2_318603_172752,0.0
patient_id_2_325503_116754,0.0
patient_id_2_318602_175840,0.0
patient_id_2_325501_164208,0.0
patient_id_2_325503_140260,0.0
patient_id_2_325510_112863,0.0
patient_id_2_325506_166354,0.0
patient_id_2_325506_72519,0.0
patient_id_2_325507_198501,0.0
patient_id_2_325508_171958,0.0
patient_id_2_325512_147659,0.0
patient_id_2_325512_199332,0.0
patient_id_2_325518_451042,0.0
appointment_last_modified_date_0000,0.0
appointment_date_time_59,0.0
appointment_date_time_47,0.0
appointment_scheduled_date_2016,0.0
patient_id_2_318602_169697,0.0
patient_id_2_325504_60695,0.0
patient_id_2_318601_75698,0.0
patient_id_2_318602_170851,0.0
patient_id_2_318601_179056,0.0
patient_id_2_301901_79527,0.0
patient_id_2_301902_107678,0.0
patient_id_2_301902_109367,0.0
patient_id_2_301902_62714,0.0
patient_id_2_301903_100897,0.0
patient_id_2_301903_107361,0.0
patient_id_2_301903_109666,0.0
patient_id_2_301903_57415,0.0
patient_id_2_318601_71893,0.0
patient_id_2_301903_69164,0.0
patient_id_2_303201_101311,0.0
patient_id_2_303201_269952,0.0
patient_id_2_303201_276110,0.0
patient_id_2_303201_276408,0.0
patient_id_2_303201_277202,0.0
patient_id_2_303201_98104,0.0
patient_id_2_303202_281138,0.0
patient_id_2_301901_109367,0.0
patient_id_2_300602_298172,0.0
patient_id_2_29501_95456,0.0
patient_id_2_29501_84096,0.0
geocode_state,0.0
geocode_stusab,0.0
geocode_lengthlife,0.0
geocode_healthybehaviors,0.0
geocode_clinicalcare,0.0
geocode_socioeconomic,0.0
geocode_physicalenv,0.0
patient_id_2_25401_998,0.0
patient_id_2_303202_95100,0.0
patient_id_2_26501_21970,0.0
patient_id_2_29501_100048,0.0
patient_id_2_29501_100668,0.0
patient_id_2_29501_50907,0.0
patient_id_2_29501_58207,0.0
patient_id_2_29501_60753,0.0
patient_id_2_29501_63108,0.0
patient_id_2_29501_64206,0.0
patient_id_2_29501_76679,0.0
patient_id_2_28801_1538186,0.0
patient_id_2_303205_265537,0.0
patient_id_2_301903_62714,0.0
patient_id_2_303801_541416,0.0
patient_id_2_318601_177387,0.0
patient_id_2_303801_542251,0.0
patient_id_2_303801_580068,0.0
patient_id_2_303801_595770,0.0
patient_id_2_303801_596244,0.0
patient_id_2_303801_596301,0.0
patient_id_2_303801_596410,0.0
patient_id_2_303801_596411,0.0
patient_id_2_318601_164221,0.0
patient_id_2_303802_543547,0.0
patient_id_2_303801_596414,0.0
patient_id_2_318601_160002,0.0
patient_id_2_303801_601355,0.0
patient_id_2_303801_602951,0.0
patient_id_2_318601_157907,0.0
patient_id_2_303801_607181,0.0
patient_id_2_303802_17,0.0
patient_id_2_303802_343618,0.0
patient_id_2_303802_430099,0.0
patient_id_2_303802_540943,0.0
patient_id_2_318601_160166,0.0
patient_id_2_303801_540960,0.0
patient_id_2_303802_616452,0.0
patient_id_2_303801_17,0.0
patient_id_2_303801_434613,0.0
patient_id_2_318601_177968,0.0
patient_id_2_303801_430099,0.0
patient_id_2_303801_398747,0.0
patient_id_2_303205_284529,0.0
patient_id_2_303801_390236,0.0
patient_id_2_303206_290564,0.0
patient_id_2_303801_367511,0.0
patient_id_2_303207_125984,0.0
patient_id_2_303207_280310,0.0
appointment_date_time_32,7.4979304576561215e-06
appointment_last_modified_date_19,1.5018526543975063e-05
appointment_last_modified_date_05,1.9232499090326983e-05
appointment_scheduled_date_05,2.11227596872976e-05
weather_icon,2.1716691954776213e-05
appointment_date_time_40,2.6647896449072395e-05
appointment_last_modified_date_2021,3.101974929847762e-05
appointment_scheduled_date_46,4.3639265218375914e-05
appintmentWithin3DayHoliday,4.4169672657645706e-05
appointment_date_time_23,4.5664809246015456e-05
appointment_scheduled_date_27,5.362967541102659e-05
appointment_date_time_2022,5.409978805648308e-05
appointment_scheduled_date_59,5.542161010746449e-05
appointment_last_modified_date_42,5.9013671649055246e-05
appointment_date_qt,6.022623732219179e-05
appointment_last_modified_date_46,6.932190272860295e-05
appointment_last_modified_date_58,6.979320900739605e-05
appointment_last_modified_date_07,7.89157572008925e-05
appointment_scheduled_date_13,0.0001020142360743992
appointment_last_modified_date_51,0.00012434783830158613
geocode_county,0.00012681593432777304
appointment_date_time_56,0.00013533392955283885
appointment_last_modified_date_50,0.0001539964070276678
appointment_scheduled_date_15,0.00015663780921204573
appointment_last_modified_date_32,0.00018033211810570827
appointment_last_modified_date_17,0.00018352956331862957
appointment_scheduled_date_50,0.00020579039611908767
geocode_latitude,0.00021330720347606524
appointment_last_modified_date_00,0.0002173352550508878
appointment_date_time_04,0.00021882255468563816
appointment_scheduled_date_42,0.00023481601523585028
appointment_scheduled_date_06,0.00024183279362564037
appointment_last_modified_date_39,0.0002532331788673736
appointment_date_time_2018,0.0002617864212205001
appointment_date_time_16,0.00026864402574127143
appointment_scheduled_date_36,0.00027139144502099646
appointment_date_time_28,0.00027265020624969163
appointment_scheduled_date_57,0.000273172951583589
appointment_date_time_10,0.00028507086951068406
appointment_date_time_19,0.00029478146338801636
appointment_last_modified_date_2017,0.0002984821165449514
appointment_last_modified_date_53,0.0003024582053084646
appointment_date_time_29,0.00030515337492316165
appointment_date_time_2020,0.0003562963014089093
data_collect,0.0003595729786634139
appointment_scheduled_date_31,0.0003723873574363212
appointment_date_month,0.00037530462799938434
appointment_date_time_22,0.0003775124098139293
appointment_scheduled_date_40,0.0003798880539194416
appointment_date_time_06,0.00039307882125872996
appointment_last_modified_date_54,0.0004046258461100738
patient_id_2_303802_542251,0.00043007791564464437
appointment_date_time_48,0.0004398132109205366
appointment_date_time_30,0.00044591703287620853
geocode_city,0.00047402345551128544
appointment_scheduled_date_20,0.00047731401931730975
appointment_date_time_27,0.000489765232587902
appointment_scheduled_date_08,0.0004903040947022763
appointment_scheduled_date_38,0.0004929918908542774
appointment_scheduled_date_23,0.000502859304658676
appointment_last_modified_date_09,0.0005217576305574067
appointment_scheduled_date_49,0.0005444151200451163
appointment_last_modified_date_52,0.0005480627359301437
appointment_date_time_41,0.0005628125070821887
appointment_last_modified_date_47,0.000590956655098307
appointment_last_modified_date_21,0.0005939906415256102
appointment_scheduled_date_21,0.000598611570718699
appointment_date_time_24,0.0006004423981060159
appointment_date_time_07,0.0006136440187493042
